id,video_id,title,channel,published_at,views,likes,url,tone,occasions,moods,description_keywords
1,8l9Pnr9CiDA,가을 메이크업은 하고싶은데 칙칙한건 또 싫은! 🌷화사한 로지 메이크업🌺 #클리오파운데이션 #픽싱틴트멜란지로즈 #원앤온리렌즈,10시엔 디붕,2022-09-20,5539,83,https://www.youtube.com/watch?v=8l9Pnr9CiDA,가을웜,데일리,"러블리, 글램(글로우)","핑크, 화사한, 코랄, 글로우"
2,bcQySgItQd0,🤷🏻‍♀️더스티포그 가든..? 그 회색을 누가 써???🤷🏻‍♂️ 내가 쓴다ㅋ 최근 발견한 커버력&지속력 개 쩌는 베이스 제품까지!!!&!! (쏘내추럴 모즈픽스 쿠션&코팅젤 픽서),10시엔 디붕,2022-04-28,11915,124,https://www.youtube.com/watch?v=bcQySgItQd0,미분류,미분류,"내추럴(자연스러운), 스모키","스모키, 내추럴"
3,HDZ6eYSgu1M,올리브영 메이크업 랭킹템.... 🤷🏻‍♀️얘네 진짜 좋아???🤷🏻‍♀️,10시엔 디붕,2024-03-02,8401,131,https://www.youtube.com/watch?v=HDZ6eYSgu1M,미분류,미분류,글램(글로우),글로우
4,MDEcsYWRj1A,(GRWM) ENFP의 이별....⭐️ 하하하ㅏ핳ㅎ 저 이별했어요 하하하핳ㅎㅎ 그 여자 때문이었니? 하ㅣ하하핳ㅎ,10시엔 디붕,2022-06-07,5972,96,https://www.youtube.com/watch?v=MDEcsYWRj1A,쿨톤,미분류,"러블리, 스모키","핑크, 스모키"
5,slXxW5fyOKM,🌼봄웜톤 필수시청🌼 봄 웜 라이트분들은 얘네들 안써보면 안돼유..... feat.퓌 신상 아이팔레트,10시엔 디붕,2022-03-28,9515,123,https://www.youtube.com/watch?v=slXxW5fyOKM,봄웜,데일리,글램(글로우),글로우
6,m0dTds5rG7o,바쁜 아침 5분초간단 물광피부 출근메이크업 / 꾸안꾸메이크업 /워킹맘 /직장인 출근,40대동안 이정언니 꿀팁 일상,2021-08-26,4447,29,https://www.youtube.com/watch?v=m0dTds5rG7o,미분류,출근/등교,"내추럴(자연스러운), 글램(글로우)","촉촉, 5분, 꾸안꾸, 출근, 초간단, 간단, 직장인"
7,yYkOE2iDGVY,[Make Up] 연말 파티 메이크업💄| 크리스마스 기념 화장 ✨ | 8_min,8_min,2020-12-25,16583,302,https://www.youtube.com/watch?v=yYkOE2iDGVY,쿨톤,파티,"러블리, 글램(글로우)","파티, 연말, 내추럴, 클럽"
8,AcZGCmcLJpk,와...충격의도가니탕 여쿨뮤트진단받고 올영 털고 쿨톤 메이크업 냅다 갈겨버리기,가딩-Gading,2022-07-06,6419,94,https://www.youtube.com/watch?v=AcZGCmcLJpk,여쿨,데일리,내추럴(자연스러운),"내추럴, 누디"
9,_ST4U0Jk0hs,뉴트럴톤 추구미 메이크업🤍 오늘 블러셔 뭐에요? 정말 많이 물어보신 블러셔! l GAYOON 가윤,가윤 GAYOON,2024-12-16,4157,62,https://www.youtube.com/watch?v=_ST4U0Jk0hs,쿨톤,데일리,러블리,핑크
10,1bAECnl52Hc,"🎅🏻봄라 여쿨, 뉴아이템들로 메이크업!겨울쿠션 드뎌 정착함✌🏻여쿨팔레트와 함께 고고 | 가윤GAYOON",가윤 GAYOON,2021-12-25,10322,88,https://www.youtube.com/watch?v=1bAECnl52Hc,여쿨,데일리,러블리,"핑크, 누드, 코랄"
